module,theory_id,classification_basis,notes
DavisKahan.Sources.DavisKahan1970.HeadlineGeneric,dk_result_layer,human-reviewed exact module assignment,
DavisKahan.Sources.DavisKahan1970.Ideals.HilbertSchmidt,dk_result_layer,human-reviewed exact module assignment,
DavisKahan.Sources.DavisKahan1970.PartIII,dk_result_layer,human-reviewed exact module assignment,
DavisKahan.Sources.DavisKahan1970.RemainingSourceSurface,dk_result_layer,human-reviewed exact module assignment,
DavisKahan.Sources.DavisKahan1970.Section2TanThetaPerturbation,dk_result_layer,human-reviewed exact module assignment,
DavisKahan.Sources.DavisKahan1970.Section3AcuteDirectRotation,dk_result_layer,human-reviewed exact module assignment,
DavisKahan.Sources.DavisKahan1970.Section3PrincipalSquareRoot,dk_result_layer,human-reviewed exact module assignment,
DavisKahan.Sources.DavisKahan1970.Section3Proposition34,dk_result_layer,human-reviewed exact module assignment,
DavisKahan.Sources.DavisKahan1970.Section3Proposition34Real,dk_result_layer,human-reviewed exact module assignment,
DavisKahan.Sources.DavisKahan1970.Section3Proposition35,dk_result_layer,human-reviewed exact module assignment,
DavisKahan.Sources.DavisKahan1970.Section4,dk_result_layer,human-reviewed exact module assignment,
DavisKahan.Sources.DavisKahan1970.Section4Real,dk_result_layer,human-reviewed exact module assignment,
DavisKahan.Sources.DavisKahan1970.Section5,dk_result_layer,human-reviewed exact module assignment,
DavisKahan.Sources.DavisKahan1970.Section6AppendixLeakage,dk_result_layer,human-reviewed exact module assignment,
DavisKahan.Sources.DavisKahan1970.Section6AppendixLeakageReal,dk_result_layer,human-reviewed exact module assignment,
DavisKahan.Sources.DavisKahan1970.Section8.SourceTheorem81,dk_result_layer,human-reviewed exact module assignment,
DavisKahan.Sources.DavisKahan1970.Section8.SourceTheorem81Real,dk_result_layer,human-reviewed exact module assignment,
DavisKahan.Sources.DavisKahan1970.SinTwoTheta,dk_result_layer,human-reviewed exact module assignment,
DavisKahan.Sources.DavisKahan1970.SinTwoThetaUnboundedDirectedResidual,dk_result_layer,human-reviewed exact module assignment,
DavisKahan.Sources.DavisKahan1970.SinTwoThetaUnboundedDirectedResidualReal,dk_result_layer,human-reviewed exact module assignment,
DavisKahan.Sources.DavisKahan1970.SinTwoThetaWholeSpace,dk_result_layer,human-reviewed exact module assignment,
DavisKahan.Sources.DavisKahan1970.SineTheta.CommonCore,dk_result_layer,human-reviewed exact module assignment,
DavisKahan.Sources.DavisKahan1970.SineTheta.CommonCoreTheorems,dk_result_layer,human-reviewed exact module assignment,
DavisKahan.Sources.DavisKahan1970.SineTheta.CommonDomain,dk_result_layer,human-reviewed exact module assignment,
DavisKahan.Sources.DavisKahan1970.SineTheta.CommonDomainTheorems,dk_result_layer,human-reviewed exact module assignment,
DavisKahan.Sources.DavisKahan1970.SineTheta.HeadlineGeneric,dk_result_layer,human-reviewed exact module assignment,
DavisKahan.Sources.DavisKahan1970.SineTheta.Lemma61,dk_result_layer,human-reviewed exact module assignment,
DavisKahan.Sources.DavisKahan1970.SineTheta.Norms.SingularValueTransport,dk_result_layer,human-reviewed exact module assignment,
DavisKahan.Sources.DavisKahan1970.SineTheta.Norms.UnitaryInvariantNorm,dk_result_layer,human-reviewed exact module assignment,
DavisKahan.Sources.DavisKahan1970.SineTheta.PaperSurface,dk_result_layer,human-reviewed exact module assignment,
DavisKahan.Sources.DavisKahan1970.SineTheta.ProjectionBlocks,dk_result_layer,human-reviewed exact module assignment,
DavisKahan.Sources.DavisKahan1970.SineTheta.Symmetric,dk_result_layer,human-reviewed exact module assignment,
